date,title,company,details,link,ativo
2025-10-06,IT Consultant,Fyld,Internacional Full-time,https://www.itjobs.pt/oferta/505475/it-consultant,0
2025-10-06,Senior Business Intelligence Analyst,We Are Meta,"Braga, Coimbra, Lisboa Full-time",https://www.itjobs.pt/oferta/504738/senior-business-intelligence-analyst,0
2025-10-03,Support Analyst,Dellent,Porto Full-time,https://www.itjobs.pt/oferta/504373/support-analyst,0
2025-10-03,ERP Finance Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/505322/erp-finance-analyst,0
2025-10-01,Business Intelligence Analyst,Aubay,Full-time Remoto,https://www.itjobs.pt/oferta/505275/business-intelligence-analyst,0
2025-09-30,Business Analyst,Dellent,Lisboa Full-time,https://www.itjobs.pt/oferta/504240/business-analyst,0
2025-09-30,Business Analyst (French Speaker),We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/504663/business-analyst-french-speaker,0
2025-09-30,Business Analyst/QA Specialist,NTT DATA Luxembourg,Internacional Full-time,https://www.itjobs.pt/oferta/505244/business-analyst-qa-specialist,0
2025-09-28,Data Analyst,Neotalent Conclusion,Lisboa Full-time,https://www.itjobs.pt/oferta/505043/data-analyst,0
2025-09-26,Functional Analyst,KWAN,"Lisboa, Porto",https://www.itjobs.pt/oferta/505040/functional-analyst,0
2025-09-26,IT Business Analyst,Fyld,Lisboa Full-time,https://www.itjobs.pt/oferta/505097/it-business-analyst,0
2025-09-26,Business Analyst,Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/505083/business-analyst,0
2025-09-24,Data Analyst,Growin - Know to grow,"Braga, Lisboa, Setúbal, Porto Full-time",https://www.itjobs.pt/oferta/505018/data-analyst,0
2025-09-23,Business Analyst with Murex,KWAN,Porto Full-time,https://www.itjobs.pt/oferta/504919/business-analyst-with-murex,0
2025-09-23,Data Analyst,Devoteam,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/504881/data-analyst,0
2025-09-22,Business Analyst,Devoteam,Lisboa Full-time,https://www.itjobs.pt/oferta/504883/business-analyst,0
2025-09-21,Data Analyst,KWAN,Porto,https://www.itjobs.pt/oferta/504555/data-analyst,0
2025-09-19,Functional Analyst,Integer Consulting,Lisboa,https://www.itjobs.pt/oferta/504570/functional-analyst,0
2025-09-19,Business Analyst (FBTI),We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/504614/business-analyst-fbti,0
2025-09-19,Data Engineer Microsoft,Mind Source,Lisboa Full-time,https://www.itjobs.pt/oferta/504785/data-engineer-microsoft,0
2025-09-19,Data Analyst,Adentis,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/504779/data-analyst,0
2025-09-18,Functional Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/504516/functional-analyst,0
2025-09-18,Senior Data Analyst,KWAN,Lisboa,https://www.itjobs.pt/oferta/504358/senior-data-analyst,0
2025-09-17,Data Analyst,Growin - Know to grow,Internacional,https://www.itjobs.pt/oferta/504607/data-analyst,0
